activity_id,user_id,activity_date,activity_type,session_duration_min,pages_viewed
A010777,U02142,2024-03-26,Feature Use,58,15
A010778,U02142,2024-04-27,Feature Use,6,12
A010779,U02142,2024-05-28,Purchase,31,10
A010780,U02142,2024-06-23,Browse,49,9
A010781,U02142,2024-07-26,Cart,45,4
A010782,U02142,2024-08-26,Feature Use,6,2
A010783,U02142,2024-09-21,Cart,18,8
A010784,U02142,2024-10-26,Cart,21,14
A010785,U02142,2024-11-22,Purchase,58,20
A010786,U02142,2024-12-21,Browse,7,8
A010787,U02142,2025-01-20,Login,38,1
A010788,U02142,2025-02-21,Purchase,41,17
A010789,U02143,2024-07-21,Purchase,23,14
A010790,U02143,2024-08-21,Purchase,7,11
A010791,U02144,2024-12-12,Purchase,3,14
A010792,U02144,2025-01-09,Feature Use,37,8
A010793,U02145,2024-11-12,Cart,53,10
A010794,U02145,2024-12-14,Feature Use,59,10
A010795,U02145,2025-01-10,Purchase,32,6
A010796,U02146,2024-02-02,Purchase,55,8
A010797,U02146,2024-03-02,Purchase,30,9
A010798,U02146,2024-03-31,Cart,11,19
A010799,U02146,2024-04-27,Purchase,46,12
A010800,U02147,2024-01-28,Purchase,28,2
A010801,U02147,2024-02-29,Purchase,34,3
A010802,U02148,2024-08-14,Purchase,24,10
A010803,U02148,2024-09-17,Login,24,11
A010804,U02148,2024-10-17,Purchase,37,19
A010805,U02148,2024-11-16,Cart,29,1
A010806,U02149,2024-07-27,Cart,53,11
A010807,U02150,2024-11-18,Feature Use,15,4
A010808,U02150,2024-12-20,Cart,7,11
A010809,U02150,2025-01-19,Browse,20,19
A010810,U02150,2025-02-19,Purchase,55,12
A010811,U02150,2025-03-18,Cart,10,16
A010812,U02151,2024-01-12,Purchase,53,9
A010813,U02151,2024-02-16,Feature Use,4,9
A010814,U02151,2024-03-14,Cart,56,1
A010815,U02151,2024-04-15,Purchase,45,14
A010816,U02151,2024-05-11,Cart,15,16
A010817,U02151,2024-06-12,Login,19,1
A010818,U02151,2024-07-14,Feature Use,32,5
A010819,U02151,2024-08-14,Purchase,20,9
A010820,U02151,2024-09-11,Login,49,16
A010821,U02151,2024-10-12,Purchase,57,12
A010822,U02151,2024-11-10,Cart,50,20
A010823,U02152,2024-08-25,Browse,39,20
A010824,U02152,2024-09-20,Login,26,7
A010825,U02152,2024-10-19,Cart,52,4
A010826,U02152,2024-11-18,Purchase,41,4
A010827,U02152,2024-12-22,Purchase,51,8
A010828,U02153,2024-06-29,Purchase,36,20
A010829,U02154,2024-12-13,Cart,10,13
A010830,U02154,2025-01-15,Feature Use,51,14
A010831,U02155,2024-08-05,Login,2,12
A010832,U02155,2024-09-05,Login,59,18
A010833,U02155,2024-10-03,Cart,36,15
A010834,U02155,2024-11-04,Purchase,4,7
A010835,U02155,2024-12-04,Feature Use,39,9
A010836,U02156,2024-03-06,Feature Use,47,16
A010837,U02156,2024-04-03,Browse,53,16
A010838,U02156,2024-05-06,Login,2,16
A010839,U02156,2024-06-05,Feature Use,59,17
A010840,U02157,2024-05-20,Purchase,27,16
A010841,U02158,2024-09-20,Purchase,10,9
A010842,U02159,2024-04-16,Feature Use,34,4
A010843,U02159,2024-05-17,Feature Use,38,12
A010844,U02160,2024-08-25,Cart,53,17
A010845,U02160,2024-09-27,Purchase,46,17
A010846,U02160,2024-10-24,Feature Use,42,18
A010847,U02160,2024-11-24,Purchase,7,18
A010848,U02161,2024-11-28,Login,6,17
A010849,U02161,2024-12-27,Cart,25,16
A010850,U02161,2025-01-24,Browse,42,4
A010851,U02161,2025-02-22,Browse,24,19
A010852,U02161,2025-03-27,Purchase,25,7
A010853,U02161,2025-04-25,Browse,51,8
A010854,U02162,2024-09-26,Login,55,19
A010855,U02162,2024-10-22,Browse,22,16
A010856,U02162,2024-11-24,Login,14,17
A010857,U02162,2024-12-23,Cart,53,5
A010858,U02162,2025-01-21,Login,32,18
A010859,U02162,2025-02-22,Feature Use,44,10
A010860,U02162,2025-03-25,Feature Use,11,11
A010861,U02162,2025-04-20,Purchase,51,4
A010862,U02162,2025-05-24,Cart,21,10
A010863,U02163,2024-08-11,Cart,13,16
A010864,U02163,2024-09-10,Cart,33,16
A010865,U02163,2024-10-09,Browse,52,19
A010866,U02163,2024-11-07,Login,11,6
A010867,U02163,2024-12-08,Feature Use,17,3
A010868,U02163,2025-01-06,Login,48,7
A010869,U02163,2025-02-03,Purchase,26,1
A010870,U02163,2025-03-06,Feature Use,42,18
A010871,U02163,2025-04-03,Login,41,9
A010872,U02163,2025-05-04,Cart,12,16
A010873,U02163,2025-06-03,Login,2,19
A010874,U02163,2025-07-03,Login,18,20
A010875,U02164,2024-01-17,Login,58,4
A010876,U02164,2024-02-15,Purchase,44,20
A010877,U02164,2024-03-18,Purchase,25,18
A010878,U02164,2024-04-19,Browse,12,14
A010879,U02165,2024-07-30,Feature Use,58,5
A010880,U02165,2024-08-29,Login,23,8
A010881,U02166,2024-05-02,Purchase,60,14
A010882,U02166,2024-06-01,Login,39,1
A010883,U02166,2024-07-01,Browse,15,7
A010884,U02167,2024-02-16,Login,19,6
A010885,U02167,2024-03-15,Feature Use,34,6
A010886,U02167,2024-04-14,Purchase,6,14
A010887,U02167,2024-05-16,Login,26,3
A010888,U02167,2024-06-14,Purchase,30,16
A010889,U02167,2024-07-17,Purchase,59,20
A010890,U02167,2024-08-16,Browse,40,11
A010891,U02167,2024-09-13,Purchase,8,14
A010892,U02167,2024-10-13,Feature Use,21,3
A010893,U02167,2024-11-14,Purchase,33,9
A010894,U02167,2024-12-14,Purchase,42,4
A010895,U02167,2025-01-09,Purchase,49,10
A010896,U02168,2024-02-18,Purchase,55,16
A010897,U02168,2024-03-20,Purchase,20,13
A010898,U02168,2024-04-16,Purchase,60,4
A010899,U02168,2024-05-17,Feature Use,24,3
A010900,U02168,2024-06-15,Login,24,14
A010901,U02168,2024-07-13,Login,26,9
A010902,U02168,2024-08-12,Login,52,20
A010903,U02168,2024-09-12,Feature Use,8,20
A010904,U02168,2024-10-13,Feature Use,28,14
A010905,U02168,2024-11-15,Purchase,40,17
A010906,U02168,2024-12-12,Login,11,1
A010907,U02169,2024-12-19,Cart,53,10
A010908,U02169,2025-01-18,Purchase,51,4
A010909,U02169,2025-02-20,Feature Use,50,1
A010910,U02169,2025-03-22,Feature Use,44,16
A010911,U02170,2024-10-20,Feature Use,13,17
A010912,U02170,2024-11-21,Purchase,41,19
A010913,U02170,2024-12-18,Browse,29,16
A010914,U02170,2025-01-19,Purchase,15,10
A010915,U02170,2025-02-17,Login,50,11
A010916,U02170,2025-03-22,Login,9,17
A010917,U02171,2024-04-30,Feature Use,8,12
A010918,U02171,2024-06-02,Feature Use,37,11
A010919,U02171,2024-06-30,Purchase,36,16
A010920,U02171,2024-08-02,Purchase,59,5
A010921,U02172,2024-01-21,Feature Use,39,7
A010922,U02172,2024-02-20,Feature Use,37,12
A010923,U02172,2024-03-21,Browse,46,7
A010924,U02172,2024-04-21,Purchase,20,10
A010925,U02172,2024-05-19,Purchase,25,6
A010926,U02172,2024-06-21,Login,17,20
A010927,U02172,2024-07-19,Purchase,39,19
A010928,U02173,2024-09-21,Purchase,12,17
A010929,U02174,2024-05-29,Login,36,10
A010930,U02174,2024-06-29,Feature Use,46,1
A010931,U02175,2024-07-02,Feature Use,9,18
A010932,U02175,2024-08-02,Browse,42,8
A010933,U02175,2024-08-30,Cart,32,5
A010934,U02175,2024-09-29,Purchase,43,7
A010935,U02175,2024-11-02,Login,28,8
A010936,U02176,2024-10-06,Cart,19,13
A010937,U02176,2024-11-05,Browse,50,15
A010938,U02176,2024-12-03,Feature Use,9,10
A010939,U02177,2024-11-18,Login,14,4
A010940,U02177,2024-12-21,Purchase,54,8
A010941,U02178,2024-09-17,Login,23,15
A010942,U02178,2024-10-19,Feature Use,59,5
A010943,U02179,2024-01-24,Browse,25,4
A010944,U02179,2024-02-20,Cart,14,1
A010945,U02179,2024-03-23,Cart,4,17
A010946,U02179,2024-04-20,Purchase,4,1
A010947,U02179,2024-05-23,Browse,42,18
A010948,U02179,2024-06-18,Cart,13,3
A010949,U02179,2024-07-23,Cart,3,17
A010950,U02179,2024-08-17,Cart,18,14
A010951,U02179,2024-09-20,Cart,26,13
A010952,U02179,2024-10-20,Browse,12,7
A010953,U02179,2024-11-17,Purchase,27,7
A010954,U02179,2024-12-15,Login,21,9
A010955,U02180,2024-07-12,Cart,16,5
A010956,U02180,2024-08-06,Feature Use,15,18
A010957,U02180,2024-09-06,Purchase,60,20
A010958,U02180,2024-10-10,Cart,35,14
A010959,U02180,2024-11-09,Purchase,47,13
A010960,U02181,2024-11-13,Feature Use,3,14
A010961,U02181,2024-12-14,Login,23,9
A010962,U02181,2025-01-16,Feature Use,24,8
A010963,U02182,2024-05-24,Browse,32,3
A010964,U02183,2024-08-28,Browse,19,8
A010965,U02183,2024-09-26,Purchase,27,15
A010966,U02183,2024-10-23,Login,19,19
A010967,U02183,2024-11-23,Feature Use,45,4
A010968,U02183,2024-12-23,Cart,37,9
A010969,U02183,2025-01-24,Login,31,19
A010970,U02183,2025-02-23,Cart,35,11
A010971,U02183,2025-03-24,Browse,60,19
A010972,U02183,2025-04-24,Feature Use,59,5
A010973,U02183,2025-05-21,Feature Use,40,2
A010974,U02183,2025-06-24,Cart,28,9
A010975,U02183,2025-07-22,Purchase,20,2
A010976,U02184,2024-11-25,Purchase,58,1
A010977,U02184,2024-12-26,Browse,45,11
A010978,U02184,2025-01-23,Login,46,6
A010979,U02184,2025-02-23,Browse,25,5
A010980,U02184,2025-03-24,Cart,50,13
A010981,U02184,2025-04-23,Browse,55,20
A010982,U02184,2025-05-21,Login,18,17
A010983,U02185,2024-04-26,Cart,20,12
A010984,U02186,2024-02-13,Login,10,19
A010985,U02186,2024-03-13,Purchase,23,20
A010986,U02187,2024-06-27,Cart,21,15
A010987,U02187,2024-07-26,Purchase,52,10
A010988,U02187,2024-08-23,Browse,23,13
A010989,U02187,2024-09-25,Login,18,9
A010990,U02187,2024-10-23,Cart,36,15
A010991,U02187,2024-11-24,Login,12,8
A010992,U02188,2024-06-26,Cart,33,10
A010993,U02188,2024-07-26,Feature Use,55,16
A010994,U02188,2024-08-23,Login,53,8
A010995,U02188,2024-09-25,Login,46,14
A010996,U02188,2024-10-27,Login,33,19
A010997,U02188,2024-11-21,Browse,15,4
A010998,U02188,2024-12-21,Purchase,38,12
A010999,U02189,2024-07-08,Purchase,46,13
A011000,U02189,2024-08-10,Purchase,38,20
A011001,U02190,2024-11-10,Feature Use,15,9
A011002,U02190,2024-12-13,Feature Use,53,7
A011003,U02191,2024-11-22,Feature Use,21,9
A011004,U02191,2024-12-17,Browse,8,17
A011005,U02191,2025-01-19,Feature Use,44,6
A011006,U02191,2025-02-20,Purchase,47,1
A011007,U02192,2024-01-25,Feature Use,7,13
A011008,U02192,2024-02-27,Feature Use,55,14
A011009,U02192,2024-03-25,Cart,19,20
A011010,U02192,2024-04-28,Feature Use,50,1
A011011,U02192,2024-05-28,Purchase,22,3
A011012,U02193,2024-07-06,Cart,15,18
A011013,U02193,2024-08-09,Login,14,12
A011014,U02194,2024-06-20,Feature Use,9,15
A011015,U02194,2024-07-17,Cart,25,18
A011016,U02194,2024-08-16,Cart,31,17
A011017,U02195,2024-08-04,Purchase,39,11
A011018,U02195,2024-09-05,Purchase,37,4
A011019,U02195,2024-10-01,Login,8,17
A011020,U02195,2024-11-02,Cart,52,19
A011021,U02196,2024-01-29,Feature Use,40,8
A011022,U02196,2024-02-28,Purchase,47,1
A011023,U02196,2024-03-27,Cart,4,7
A011024,U02196,2024-04-27,Login,2,9
A011025,U02196,2024-05-26,Browse,57,17
A011026,U02196,2024-06-22,Login,5,13
A011027,U02196,2024-07-24,Purchase,24,19
A011028,U02197,2024-02-16,Cart,13,8
A011029,U02197,2024-03-17,Login,55,15
A011030,U02197,2024-04-14,Feature Use,43,18
A011031,U02197,2024-05-17,Login,14,8
A011032,U02197,2024-06-13,Login,23,17
A011033,U02197,2024-07-13,Purchase,58,14
A011034,U02197,2024-08-12,Purchase,28,7
A011035,U02197,2024-09-11,Cart,54,17
A011036,U02197,2024-10-14,Browse,49,20
A011037,U02197,2024-11-11,Feature Use,28,8
A011038,U02198,2024-10-19,Browse,25,3
A011039,U02198,2024-11-14,Purchase,25,16
A011040,U02198,2024-12-18,Purchase,34,10
A011041,U02198,2025-01-16,Feature Use,34,3
A011042,U02198,2025-02-12,Cart,59,6
A011043,U02198,2025-03-17,Login,13,17
A011044,U02199,2024-04-30,Cart,12,1
A011045,U02200,2024-10-15,Browse,46,19
A011046,U02200,2024-11-16,Cart,34,12
A011047,U02200,2024-12-15,Login,50,11
A011048,U02200,2025-01-11,Feature Use,41,14
A011049,U02200,2025-02-13,Purchase,32,20
A011050,U02201,2024-10-02,Purchase,16,14
A011051,U02201,2024-11-03,Purchase,27,15
A011052,U02202,2024-12-09,Cart,26,10
A011053,U02202,2025-01-10,Purchase,55,9
A011054,U02203,2024-09-15,Feature Use,45,8
A011055,U02203,2024-10-17,Cart,38,19
A011056,U02203,2024-11-17,Cart,32,8
A011057,U02203,2024-12-13,Login,2,9
A011058,U02203,2025-01-14,Browse,27,1
A011059,U02203,2025-02-16,Login,15,10
A011060,U02203,2025-03-16,Feature Use,12,8
A011061,U02203,2025-04-14,Cart,25,13
A011062,U02203,2025-05-16,Cart,28,15
A011063,U02203,2025-06-16,Cart,58,8
A011064,U02203,2025-07-12,Browse,37,12
A011065,U02203,2025-08-10,Cart,26,19
A011066,U02204,2024-01-16,Cart,44,5
A011067,U02204,2024-02-14,Browse,39,19
A011068,U02205,2024-10-29,Purchase,52,10
A011069,U02206,2024-06-11,Login,43,12
A011070,U02206,2024-07-12,Feature Use,20,3
A011071,U02206,2024-08-14,Cart,16,8
A011072,U02206,2024-09-12,Cart,37,14
A011073,U02207,2024-11-25,Feature Use,7,18
A011074,U02208,2024-05-27,Browse,42,13
A011075,U02209,2024-09-17,Browse,35,2
A011076,U02209,2024-10-16,Purchase,56,19
A011077,U02209,2024-11-12,Purchase,47,14
A011078,U02210,2024-03-17,Browse,34,13
A011079,U02210,2024-04-18,Feature Use,42,12
A011080,U02210,2024-05-20,Login,31,6
A011081,U02210,2024-06-18,Purchase,32,15
A011082,U02210,2024-07-20,Browse,41,14
A011083,U02210,2024-08-17,Cart,12,1
A011084,U02210,2024-09-16,Purchase,29,3
A011085,U02210,2024-10-18,Purchase,2,18
A011086,U02210,2024-11-16,Cart,54,19
A011087,U02210,2024-12-12,Feature Use,35,8
A011088,U02210,2025-01-15,Cart,9,18
A011089,U02210,2025-02-15,Purchase,31,9
A011090,U02211,2024-06-01,Feature Use,10,15
A011091,U02211,2024-06-28,Cart,39,3
A011092,U02211,2024-07-29,Purchase,3,16
A011093,U02212,2024-04-07,Feature Use,3,19
A011094,U02212,2024-05-12,Feature Use,32,17
A011095,U02213,2024-11-16,Cart,43,2
A011096,U02213,2024-12-17,Purchase,57,6
A011097,U02213,2025-01-17,Cart,57,8
A011098,U02213,2025-02-16,Purchase,48,15
A011099,U02213,2025-03-17,Login,41,15
A011100,U02213,2025-04-19,Browse,3,10
A011101,U02214,2024-05-17,Feature Use,15,17
A011102,U02214,2024-06-14,Purchase,28,7
A011103,U02214,2024-07-18,Purchase,14,5
A011104,U02214,2024-08-14,Feature Use,43,12
A011105,U02214,2024-09-16,Cart,26,8
A011106,U02214,2024-10-11,Login,26,10
A011107,U02214,2024-11-14,Feature Use,23,16
A011108,U02214,2024-12-10,Cart,44,6
A011109,U02214,2025-01-13,Browse,32,7
A011110,U02215,2024-07-27,Login,4,15
A011111,U02215,2024-08-26,Cart,21,19
A011112,U02215,2024-09-28,Feature Use,14,18
A011113,U02215,2024-10-28,Browse,33,15
A011114,U02215,2024-11-27,Feature Use,10,3
A011115,U02216,2024-08-27,Login,12,4
A011116,U02216,2024-09-26,Browse,19,9
A011117,U02216,2024-10-27,Purchase,15,5
A011118,U02216,2024-11-28,Purchase,5,11
A011119,U02216,2024-12-28,Login,51,11
A011120,U02217,2024-10-21,Feature Use,50,5
A011121,U02218,2024-12-03,Feature Use,57,16
A011122,U02218,2025-01-04,Login,39,18
A011123,U02218,2025-02-02,Purchase,4,5
A011124,U02218,2025-03-05,Login,36,8
A011125,U02219,2024-03-02,Feature Use,18,15
A011126,U02219,2024-04-05,Browse,40,13
A011127,U02219,2024-05-01,Purchase,39,4
A011128,U02220,2024-08-19,Login,35,5
A011129,U02220,2024-09-14,Login,11,9
A011130,U02221,2024-03-24,Login,40,2
A011131,U02221,2024-04-21,Browse,49,14
A011132,U02221,2024-05-22,Browse,57,12
A011133,U02221,2024-06-18,Feature Use,32,17
A011134,U02221,2024-07-22,Purchase,40,17
A011135,U02221,2024-08-22,Login,5,18
A011136,U02221,2024-09-19,Purchase,14,14
A011137,U02222,2024-08-08,Purchase,48,20
A011138,U02223,2024-05-06,Login,51,11
A011139,U02223,2024-06-02,Purchase,55,18
A011140,U02223,2024-07-03,Feature Use,6,19
A011141,U02223,2024-08-04,Browse,54,17
A011142,U02223,2024-09-03,Cart,8,19
A011143,U02223,2024-10-01,Feature Use,11,12
A011144,U02223,2024-10-29,Cart,16,2
A011145,U02223,2024-12-02,Feature Use,41,4
A011146,U02223,2024-12-28,Purchase,55,12
A011147,U02223,2025-01-29,Login,8,12
A011148,U02223,2025-03-02,Login,24,5
A011149,U02223,2025-04-01,Browse,60,6
A011150,U02224,2024-10-14,Cart,54,11
A011151,U02224,2024-11-11,Cart,10,5
A011152,U02224,2024-12-13,Login,59,19
A011153,U02224,2025-01-12,Browse,27,12
A011154,U02224,2025-02-11,Feature Use,17,4
A011155,U02224,2025-03-13,Login,59,10
A011156,U02224,2025-04-10,Login,52,5
A011157,U02225,2024-04-23,Feature Use,42,10
A011158,U02225,2024-05-27,Browse,16,12
A011159,U02225,2024-06-21,Browse,41,3
A011160,U02225,2024-07-26,Login,35,8
A011161,U02225,2024-08-25,Cart,13,9
A011162,U02225,2024-09-24,Browse,8,14
A011163,U02225,2024-10-24,Feature Use,18,10
A011164,U02226,2024-05-11,Browse,8,1
A011165,U02226,2024-06-13,Feature Use,60,18
A011166,U02227,2024-04-10,Feature Use,27,15
A011167,U02227,2024-05-07,Cart,2,6
A011168,U02228,2024-12-11,Cart,35,1
A011169,U02229,2025-01-01,Login,41,8
A011170,U02230,2024-03-09,Browse,38,12
A011171,U02230,2024-04-09,Purchase,11,7
A011172,U02230,2024-05-08,Login,53,6
A011173,U02230,2024-06-12,Login,20,1
A011174,U02230,2024-07-08,Purchase,27,20
A011175,U02230,2024-08-06,Cart,29,1
A011176,U02231,2024-10-15,Login,15,17
A011177,U02231,2024-11-10,Browse,12,10
A011178,U02231,2024-12-09,Cart,17,9
A011179,U02231,2025-01-13,Feature Use,52,2
A011180,U02231,2025-02-11,Cart,47,9
A011181,U02231,2025-03-11,Login,55,1
A011182,U02231,2025-04-08,Purchase,27,7
A011183,U02232,2024-12-12,Feature Use,7,9
A011184,U02232,2025-01-09,Cart,19,6
A011185,U02233,2024-01-26,Browse,11,13
A011186,U02233,2024-02-22,Browse,20,2
A011187,U02233,2024-03-26,Browse,49,13
A011188,U02234,2024-02-29,Cart,35,10
A011189,U02235,2024-03-17,Purchase,40,17
A011190,U02235,2024-04-20,Feature Use,52,19
A011191,U02235,2024-05-18,Purchase,41,15
A011192,U02235,2024-06-16,Purchase,57,10
A011193,U02235,2024-07-19,Feature Use,34,19
A011194,U02235,2024-08-14,Login,47,7
A011195,U02235,2024-09-16,Feature Use,27,9
A011196,U02235,2024-10-13,Browse,22,19
A011197,U02235,2024-11-16,Cart,40,12
A011198,U02235,2024-12-17,Purchase,32,9
A011199,U02236,2024-04-14,Purchase,5,4
A011200,U02236,2024-05-11,Cart,34,15
A011201,U02236,2024-06-11,Feature Use,23,20
A011202,U02236,2024-07-14,Browse,50,19
A011203,U02236,2024-08-09,Browse,11,9
A011204,U02236,2024-09-09,Browse,45,19
A011205,U02236,2024-10-08,Cart,51,5
A011206,U02236,2024-11-08,Browse,46,10
A011207,U02236,2024-12-09,Browse,57,14
A011208,U02236,2025-01-07,Login,45,12
A011209,U02236,2025-02-09,Purchase,19,13
A011210,U02236,2025-03-07,Login,29,13
A011211,U02237,2024-10-22,Browse,48,2
A011212,U02237,2024-11-22,Cart,8,20
A011213,U02237,2024-12-25,Purchase,59,3
A011214,U02237,2025-01-22,Feature Use,10,6
A011215,U02237,2025-02-20,Login,12,17
A011216,U02237,2025-03-21,Purchase,37,3
A011217,U02237,2025-04-25,Cart,54,10
A011218,U02237,2025-05-23,Feature Use,21,12
A011219,U02238,2024-11-08,Cart,37,4
A011220,U02238,2024-12-11,Browse,35,9
A011221,U02239,2024-04-16,Cart,5,4
A011222,U02239,2024-05-16,Cart,20,9
A011223,U02240,2024-03-02,Login,57,20
A011224,U02240,2024-03-30,Login,8,2
A011225,U02240,2024-04-30,Purchase,55,17
A011226,U02240,2024-06-02,Cart,15,3
A011227,U02240,2024-06-30,Login,17,12
A011228,U02240,2024-08-01,Browse,13,7
A011229,U02240,2024-08-30,Browse,16,11
A011230,U02240,2024-09-27,Purchase,17,7
A011231,U02240,2024-10-30,Login,15,19
A011232,U02240,2024-11-27,Feature Use,26,11
A011233,U02241,2024-03-08,Feature Use,3,5
A011234,U02241,2024-04-10,Cart,43,10
A011235,U02241,2024-05-07,Browse,20,20
A011236,U02241,2024-06-07,Login,18,4
A011237,U02241,2024-07-08,Feature Use,33,5
A011238,U02241,2024-08-06,Purchase,56,11
A011239,U02241,2024-09-06,Login,7,17
A011240,U02242,2024-06-27,Browse,9,7
A011241,U02242,2024-07-25,Feature Use,50,4
A011242,U02243,2024-06-04,Purchase,36,5
A011243,U02243,2024-07-02,Feature Use,36,2
A011244,U02243,2024-07-31,Purchase,3,12
A011245,U02243,2024-09-02,Browse,53,13
A011246,U02243,2024-10-02,Cart,4,9
A011247,U02243,2024-10-31,Feature Use,18,2
A011248,U02243,2024-11-29,Browse,33,17
A011249,U02243,2024-12-30,Purchase,45,15
A011250,U02243,2025-01-27,Feature Use,13,6
A011251,U02243,2025-03-01,Browse,45,3
A011252,U02243,2025-03-31,Purchase,10,6
A011253,U02243,2025-04-30,Login,35,15
A011254,U02244,2024-08-24,Login,54,7
A011255,U02244,2024-09-23,Cart,57,15
A011256,U02244,2024-10-22,Feature Use,10,9
A011257,U02244,2024-11-19,Cart,39,15
A011258,U02244,2024-12-19,Browse,40,14
A011259,U02244,2025-01-21,Feature Use,39,18
A011260,U02244,2025-02-20,Feature Use,24,17
A011261,U02244,2025-03-23,Cart,2,12
A011262,U02245,2024-02-16,Purchase,3,12
A011263,U02245,2024-03-22,Browse,55,12
A011264,U02245,2024-04-21,Purchase,9,14
A011265,U02246,2024-01-07,Cart,26,15
A011266,U02246,2024-02-09,Feature Use,27,8
A011267,U02246,2024-03-05,Cart,2,17
A011268,U02246,2024-04-08,Cart,6,12
A011269,U02246,2024-05-06,Purchase,18,9
A011270,U02246,2024-06-08,Browse,46,13
A011271,U02246,2024-07-05,Purchase,24,2
A011272,U02246,2024-08-04,Purchase,44,9
A011273,U02246,2024-09-04,Feature Use,51,13
A011274,U02246,2024-10-03,Purchase,33,8
A011275,U02246,2024-10-31,Feature Use,6,20
A011276,U02247,2024-03-09,Feature Use,21,5
A011277,U02247,2024-04-06,Login,7,20
A011278,U02248,2024-12-04,Feature Use,44,8
A011279,U02248,2025-01-05,Cart,13,9
A011280,U02249,2024-02-20,Browse,14,13
A011281,U02249,2024-03-23,Browse,57,9
A011282,U02249,2024-04-20,Login,55,9
A011283,U02249,2024-05-23,Cart,19,11
A011284,U02250,2024-10-13,Browse,40,16
A011285,U02250,2024-11-08,Feature Use,10,18
A011286,U02251,2024-05-17,Feature Use,8,16
A011287,U02252,2024-03-08,Cart,25,13
A011288,U02252,2024-04-03,Feature Use,46,4
A011289,U02252,2024-05-05,Cart,14,10
A011290,U02252,2024-06-05,Login,5,9
A011291,U02252,2024-07-04,Login,3,9
A011292,U02252,2024-08-06,Purchase,27,7
A011293,U02253,2024-01-31,Cart,48,5
A011294,U02253,2024-03-06,Cart,33,3
A011295,U02253,2024-04-03,Browse,43,18
A011296,U02253,2024-05-02,Feature Use,35,14
A011297,U02254,2024-08-09,Feature Use,17,19
A011298,U02254,2024-09-08,Login,26,12
A011299,U02254,2024-10-08,Purchase,50,18
A011300,U02254,2024-11-04,Browse,45,10
A011301,U02254,2024-12-06,Browse,41,2
A011302,U02254,2025-01-03,Feature Use,32,1
A011303,U02255,2024-06-28,Cart,40,16
A011304,U02256,2024-05-08,Purchase,57,18
A011305,U02256,2024-06-11,Login,21,14
A011306,U02256,2024-07-08,Purchase,53,6
A011307,U02256,2024-08-06,Purchase,2,7
A011308,U02256,2024-09-09,Cart,43,3
A011309,U02257,2024-07-10,Browse,52,13
A011310,U02257,2024-08-10,Login,13,19
A011311,U02257,2024-09-10,Browse,47,17
A011312,U02257,2024-10-10,Login,24,18
A011313,U02258,2024-05-25,Browse,21,20
A011314,U02258,2024-06-27,Browse,36,11
A011315,U02258,2024-07-28,Login,47,19
A011316,U02258,2024-08-28,Purchase,11,15
A011317,U02258,2024-09-23,Purchase,49,18
A011318,U02258,2024-10-27,Cart,52,17
A011319,U02258,2024-11-23,Purchase,39,9
A011320,U02258,2024-12-26,Purchase,30,2
A011321,U02258,2025-01-25,Browse,38,3
A011322,U02259,2024-08-24,Purchase,39,7
A011323,U02259,2024-09-28,Login,54,15
A011324,U02259,2024-10-27,Browse,35,10
A011325,U02259,2024-11-22,Login,7,15
A011326,U02259,2024-12-27,Login,30,11
A011327,U02259,2025-01-26,Feature Use,39,5
A011328,U02259,2025-02-21,Login,53,17
A011329,U02259,2025-03-23,Login,57,15
A011330,U02259,2025-04-23,Login,31,9
A011331,U02260,2024-01-21,Browse,49,8
A011332,U02260,2024-02-21,Feature Use,44,15
A011333,U02260,2024-03-21,Feature Use,36,14
A011334,U02260,2024-04-22,Login,6,2
A011335,U02260,2024-05-23,Browse,46,11
A011336,U02260,2024-06-19,Browse,9,8
A011337,U02260,2024-07-22,Browse,11,2
A011338,U02260,2024-08-22,Browse,34,2
A011339,U02261,2024-05-26,Login,6,6
A011340,U02261,2024-06-22,Login,58,18
A011341,U02261,2024-07-22,Login,46,8
A011342,U02262,2024-12-10,Purchase,18,15
A011343,U02263,2024-12-28,Purchase,14,10
A011344,U02263,2025-01-30,Login,44,3
A011345,U02263,2025-02-28,Browse,28,16
A011346,U02263,2025-03-26,Browse,54,19
A011347,U02263,2025-04-30,Cart,18,8
A011348,U02263,2025-05-29,Browse,53,10
A011349,U02263,2025-06-29,Feature Use,15,20
A011350,U02263,2025-07-27,Feature Use,5,17
A011351,U02263,2025-08-23,Browse,23,18
A011352,U02263,2025-09-23,Login,7,1
A011353,U02263,2025-10-25,Cart,34,16
A011354,U02263,2025-11-24,Purchase,31,12
A011355,U02264,2024-02-23,Cart,25,14
A011356,U02264,2024-03-24,Browse,31,10
A011357,U02264,2024-04-24,Cart,32,16
A011358,U02264,2024-05-23,Login,5,13
A011359,U02265,2024-06-01,Login,56,19
A011360,U02266,2024-02-28,Feature Use,6,8
A011361,U02266,2024-03-29,Purchase,4,2
A011362,U02266,2024-05-03,Purchase,28,15
A011363,U02266,2024-06-02,Purchase,20,15
A011364,U02266,2024-07-02,Login,15,11
A011365,U02267,2024-10-01,Cart,22,3
A011366,U02267,2024-10-31,Login,15,3
A011367,U02267,2024-11-29,Feature Use,21,10
A011368,U02267,2025-01-02,Purchase,51,9
A011369,U02267,2025-01-30,Purchase,17,2
A011370,U02267,2025-03-02,Browse,50,3
A011371,U02267,2025-03-29,Feature Use,39,4
